id,title,category,layer,importance,include,note,seed_list,url
2504.11703,Progent: Programmable Privilege Control for LLM Agents,Secure architectures by construction,Least-privilege tool control,A,Must-read,Deterministic tool-level privilege control with DSL and dynamic updates; strong practical architecture.,True,https://arxiv.org/abs/2504.11703
2503.15547,Prompt Flow Integrity to Prevent Privilege Escalation in LLM Agents,Secure architectures by construction,Privilege integrity / isolation,A,Must-read,Frames attacks as privilege escalation; proposes agent isolation and secure untrusted-data processing.,True,https://arxiv.org/abs/2503.15547
2504.21034,SAGA: A Security Architecture for Governing AI Agentic Systems,Secure architectures by construction,Multi-agent governance / control plane,A,Must-read,"Central provider, identity, delegation, and cryptographic access tokens for agent ecosystems.",True,https://arxiv.org/abs/2504.21034
2509.22256,Secure and Efficient Access Control for Computer-Use Agents via Context Space (CSAgent),Secure architectures by construction,OS/context-aware access control,A,Must-read,Static policy-based access control for computer-use agents across API/CLI/GUI.,True,https://arxiv.org/abs/2509.22256
2510.21236,Securing AI Agent Execution (AgentBound),Secure architectures by construction,MCP/control plane access control,A,Must-read,First MCP access-control framework; practical policy enforcement engine for MCP servers.,True,https://arxiv.org/abs/2510.21236
2601.11893,Taming Various Privilege Escalation in LLM-Based Agent Systems: A Mandatory Access Control Framework (SEAgent),Secure architectures by construction,MAC/ABAC for agents,A,Must-read,Information-flow graph plus ABAC/MAC to block privilege escalation including confused deputy scenarios.,True,https://arxiv.org/abs/2601.11893
2503.18813,Defeating Prompt Injections by Design (CaMeL),Secure architectures by construction,Capability system + control/data-flow separation,A+,Must-read,Most important 2025 paper; uses restricted execution and capabilities for provable guarantees.,True,https://arxiv.org/abs/2503.18813
2503.03704,A Practical Memory Injection Attack against LLM Agents (MINJA),Threat model & foundational attacks,Memory poisoning,A,Important,Practical query-only persistent memory injection attack.,False,https://arxiv.org/abs/2503.03704
2410.02644,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,Threat model & foundational attacks,Benchmark,A,Must-read,"Broad benchmark including prompt injection, memory poisoning, backdoors, mixed attacks.",False,https://arxiv.org/abs/2410.02644
2406.13352,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Threat model & foundational attacks,Benchmark,A,Must-read,"Dynamic, extensible benchmark; common comparison point for many later defenses.",False,https://arxiv.org/abs/2406.13352
2602.03117,AgentDyn: A Dynamic Open-Ended Benchmark for Evaluating Prompt Injection Attacks of Real-World Agent Security System,Threat model & foundational attacks,Benchmark,A,Must-read,"Shows many current defenses are overfit/over-defensive on stronger, open-ended tasks.",False,https://arxiv.org/abs/2602.03117
2407.12784,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,Threat model & foundational attacks,Memory poisoning,A,Important,Foundational attack on agent memory/RAG stores.,False,https://arxiv.org/abs/2407.12784
2312.14197,Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models,Threat model & foundational attacks,Benchmark,A,Important,"Introduced BIPIA, the first benchmark for indirect prompt injection.",False,https://arxiv.org/abs/2312.14197
2510.05244,"Indirect Prompt Injections: Are Firewalls All You Need, or Stronger Benchmarks?",Threat model & foundational attacks,Evaluation methodology,A,Important,Shows simple firewalls saturate weak benchmarks; argues for stronger evaluation.,False,https://arxiv.org/abs/2510.05244
2403.02691,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Threat model & foundational attacks,Benchmark,A,Important,Early agent-specific benchmark for indirect prompt injection across tools.,False,https://arxiv.org/abs/2403.02691
2302.12173,Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,Threat model & foundational attacks,Threat discovery,A,Must-read,Foundational paper on indirect prompt injection taxonomy and impacts in real systems.,False,https://arxiv.org/abs/2302.12173
2306.05499,Prompt Injection attack against LLM-integrated Applications,Threat model & foundational attacks,Threat discovery,A,Must-read,Empirical prompt-injection study on commercial apps; introduced HouYi black-box attack.,False,https://arxiv.org/abs/2306.05499
2510.09023,The Attacker Moves Second: Stronger Adaptive Attacks Bypass Defenses Against LLM Jailbreaks and Prompt Injections,Threat model & foundational attacks,Evaluation methodology,A,Must-read,Meta-evaluation warning: many near-zero-ASR defenses fail under adaptive attacks.,False,https://arxiv.org/abs/2510.09023
2509.24408,FuncPoison: Poisoning Function Library to Hijack Multi-agent Autonomous Driving Systems,Threat model & foundational attacks,Tool supply chain poisoning,B,Useful,Highlights tool/function library as an attack surface in multi-agent systems.,False,https://arxiv.org/abs/2509.24408
2512.16962,MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval,Threat model & foundational attacks,Experience retrieval poisoning,B,Useful,Persistent compromise via poisoned successful experiences in long-term memory.,False,https://arxiv.org/abs/2512.16962
2506.02456,Visual Prompt Injection Attacks for Computer-Use Agents,Threat model & foundational attacks,Multimodal threat model,B,Important,Extends prompt injection to rendered UI/pixel layer for computer-use agents.,False,https://arxiv.org/abs/2506.02456
SSRN-6372438,AI Agent Traps,Threat model & foundational attacks,Environmental attack taxonomy,A,Must-read,First systematic taxonomy of environmental attacks on agents; 6 categories (content injection / semantic manipulation / cognitive state / behavioural control / systemic / human-in-the-loop) with 22 subcategories.,False,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6372438
2604.08407,"Your Agent Is Mine: Measuring Malicious Intermediary Attacks on the LLM Supply Chain",Threat model & foundational attacks,LLM router supply-chain attacks,A,Must-read,"First systematic study of malicious LLM API routers; defines payload injection (AC-1) and secret exfiltration (AC-2) with adaptive evasion variants; measures 428 commodity routers finding 9 injecting code and 17 abusing credentials; proposes provider-signed response envelopes.",False,https://arxiv.org/abs/2604.08407
